Category,Suggestion
physical,Take the stairs instead of elevator
physical,Avoid caffeine
physical,Drink eight glasses of water daily
physical,Research your nutritional needs
physical,Swim
physical,Do water aerobics
physical,Garden
physical,Dance
physical,Park further away to walk more
physical,Lift weights
physical,Add raw fruit or vegetable daily
physical,Start a stretching program
physical,Research vitamin and mineral information
physical,Join a bowling league
physical,Learn to golf
physical,Drink only purified water
physical,Delete empty-calorie food items
physical,Get to bed 20 minutes earlier
physical,Cut out all carbonated beverages
physical,Set up health check-up system
physical,Bike
physical,Ride horseback
physical,Kick-box
physical,Do aerobics
physical,Power-walk
physical,Play racquetball
physical,Get massage therapy
physical,Improve sleeping patterns
physical,Hire a fitness trainer
physical,Play soccer
physical,Play tennis
physical,Use treadmill while watching TV
mental,Read a book
mental,Take a course or class
mental,Learn a new language
mental,Practice meditation or mindfulness
mental,Solve puzzles or play chess
mental,Write in a journal
mental,Study subjects that interest you
mental,Listen to educational podcasts
mental,Attend seminars or workshops
mental,Discuss ideas with smart people
mental,Learn a musical instrument
mental,Practice public speaking
mental,Read biographies of great people
mental,Visit a museum or gallery
mental,Learn photography
mental,Study philosophy or ethics
mental,Take online courses
mental,Engage in strategic games
mental,Learn about different cultures
mental,Practice memory techniques
socialEmotional,Take a hot bath by candlelight
socialEmotional,Eliminate things keeping you from people
socialEmotional,Give yourself permission to say no
socialEmotional,Give yourself permission to say yes
socialEmotional,Clean or refresh part of room
socialEmotional,Reorganize your desk or closet
socialEmotional,Buy yourself an inexpensive treat
socialEmotional,Allow time for appointments without rushing
socialEmotional,Schedule routine calls with support people
socialEmotional,Read from favorite book daily
socialEmotional,Surround yourself with uplifting items
socialEmotional,Get quiet time to clear thinking
socialEmotional,Drink warm beverage each morning
socialEmotional,Pack yourself a wholesome meal
socialEmotional,Sign up for daily jokes
socialEmotional,Develop a talent for yourself
socialEmotional,Watch a movie you want
socialEmotional,Join a volunteer organization
socialEmotional,Listen and understand others'perspectives
socialEmotional,Stop controlling others' life outcomes
socialEmotional,Drop engagements not matching priorities
socialEmotional,Hold door and greet people
socialEmotional,Call to check on loved ones
socialEmotional,Write letters or emails regularly
socialEmotional,Send cards with personal messages
socialEmotional,Compliment someone regularly
socialEmotional,Strengthen habit of keeping promises
socialEmotional,Send weekly notes of encouragement
socialEmotional,Meet someone for lunch regularly
socialEmotional,Smile at other people
socialEmotional,Practice the Platinum Rule always
socialEmotional,Provide goodies at office monthly
socialEmotional,Send flowers to someone special
socialEmotional,Read to a child
socialEmotional,Volunteer at a homeless shelter
socialEmotional,Invite someone to dinner
socialEmotional,Send anonymous encouragement gifts
spiritual,Pray or meditate daily
spiritual,Read spiritual or religious texts
spiritual,Attend worship services
spiritual,Reflect on your values
spiritual,Practice gratitude daily
spiritual,Spend time in nature
spiritual,Journal about meaningful experiences
spiritual,Study spiritual leader works
spiritual,Practice forgiveness and letting go
spiritual,Serve others without reward
spiritual,Examine your purpose and mission
spiritual,Practice yoga
spiritual,Spend time in contemplation
spiritual,Keep a gratitude jar
spiritual,Connect with your higher power
spiritual,Practice mindfulness
spiritual,Read inspirational books
spiritual,Participate in faith community
spiritual,Write letters to future self
spiritual,Create a vision board
